,Name,Price,Rating,Review,URL
74,Gear 21 Ltrs Black Grey Casual Backpack (MDBKPECO50104),416,3.8,"1,679",https://www.amazon.com/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-79
75,DIXON Synthetic Leather Casual Travel Chain Shoulder Deatachable Slingbag For Women,399,4.1,"1,293",https://www.amazon.com/DIXON-Synthetic-Shoulder-Deatachable-Slingbag/dp/B08ZNC3JM9/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-80
76,"Golden Wolf Laptop Bag,Business Anti Theft Backpack with Lock,Water Resistant College School Laptop Backpack with Rain Cover and USB Charging Port Earphone Port,Backpack Gifts for 15.6 inch Laptop 25 L Travel Bag For Women & Men,Dark Grey","1,756",4.4,"2,448",https://www.amazon.com/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&smid=A1NO7NQ7CMFIEG&sprefix=ba%2Caps%2C283&sr=8-81
77,"Northzone Men's and Women's Stylish Lightweight Casual Travel Laptop Bag for School, College, Office (Navy Blue)",569,4.3,47,https://www.amazon.com/Northzone-Storage-Trending-Backpack-School/dp/B08FMSRJCL/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-82
78,Laxella Casual Waterproof Lightweight Laptop Bag/Backpack for Men & Boys /Office School College Teens & Students.(Packof 1),470,3.4,101,https://www.amazon.com/Laxella-Waterproof-Lightweight-Backpack-Students/dp/B093DRDJD4/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-83
79,Medium 15 L TUITION BAG AND COLLEGE BAG FOR GIRLS-B,429,5.0,1,https://www.amazon.com/Medium-TUITION-COLLEGE-GIRLS-Navy/dp/B09Z6TSKT3/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-84
80,Medium 15 L TUITION BAG AND COLLEGE BAG FOR GIRLS-B,429,5.0,1,https://www.amazon.com/Medium-TUITION-COLLEGE-GIRLS-Navy/dp/B09Z6TSKT3/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-83
81,"POLESTAR Xplore 55 L Hiking/ Trekking/ Camping/ Travelling Rucksack Backpack with rain cover, shoe compartment, water resistant, made with polyester, 1 year warranty",822,4.1,"10,087",https://www.amazon.com/gp/bestsellers/luggage/1984997031/ref=sr_bs_3_1984997031_1
82,Martucci 16 inch 36L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,639,5.0,11,https://www.amazon.com/Martucci-Waterproof-Backpack-College-Business/dp/B0B1GHRTFF/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-85
83,Gear Triumph Backpack Navy Blue-Beige (BKPTRMP520522),895,4.2,"4,864",https://www.amazon.com/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-86
84,The Clownfish Ashton Unisex Polyester Slim 15.6 inch Laptop Bag Briefcase (Grey),699,3.4,10,https://www.amazon.com/Clownfish-Ashton-Unisex-Polyester-Briefcase/dp/B091L6BPX5/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-87
85,Hyper Adam 65 LTR Rucksack Travel Backpack for Outdoor Sport Hiking Trekking Bag Camping Rucksack,999,4.2,"3,355",https://www.amazon.com/Hyper-Adam-Rucksack-Backpack-Trekking/dp/B07PJCH3VZ/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&smid=A1EX79XG5O2VE5&sprefix=ba%2Caps%2C283&sr=8-88
86,"ZIPLINE Synthetic Leather Executive SMALL messenger bag for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",827,4.0,213,https://www.amazon.com/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&smid=AE2F1YGE1DB7K&sprefix=ba%2Caps%2C283&sr=8-89
